state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
Virginia,51001,Accomack County,9659,7374,17144,2285,0.563404106,0.430121325,0.133282781
Virginia,51003,Albemarle County,21513,44279,66740,-22766,0.322340426,0.663455199,-0.341114774
Virginia,51005,Alleghany County,6093,2114,8277,3979,0.736136281,0.255406548,0.480729733
Virginia,51007,Amelia County,5776,2214,8032,3562,0.719123506,0.27564741,0.443476096
Virginia,51009,Amherst County,11742,5429,17303,6313,0.678610646,0.31376062,0.364850026
Virginia,51011,Appomattox County,7243,2324,9642,4919,0.751192699,0.241028832,0.510163866
Virginia,51013,Arlington County,25223,100446,128362,-75223,0.196498964,0.782521307,-0.586022343
Virginia,51015,Augusta County,32429,11403,44223,21026,0.733306198,0.257852249,0.475453949
Virginia,51017,Bath County,1976,588,2582,1388,0.765298218,0.227730442,0.537567777
Virginia,51019,Bedford County,38017,12414,50830,25603,0.747924454,0.244225851,0.503698603
Virginia,51021,Bland County,2998,524,3548,2474,0.844983089,0.147688839,0.69729425
Virginia,51023,Botetourt County,15796,5915,21893,9881,0.721509158,0.270177682,0.451331476
Virginia,51025,Brunswick County,3523,4184,7738,-661,0.455285604,0.540708193,-0.08542259
Virginia,51027,Buchanan County,7939,1355,9327,6584,0.851184732,0.145277152,0.70590758
Virginia,51029,Buckingham County,4847,2988,7915,1859,0.612381554,0.377511055,0.234870499
Virginia,51031,Campbell County,23032,7890,31171,15142,0.738891919,0.253119887,0.485772032
Virginia,51033,Caroline County,9511,7957,17653,1554,0.538775279,0.450744916,0.088030363
Virginia,51035,Carroll County,13152,2925,16160,10227,0.813861386,0.181002475,0.632858911
Virginia,51036,Charles City County,1917,2384,4341,-467,0.441603317,0.549182216,-0.107578899
Virginia,51037,Charlotte County,3963,2008,6006,1955,0.65984016,0.334332334,0.325507826
Virginia,51041,Chesterfield County,94030,112869,209730,-18839,0.44833834,0.538163353,-0.089825013
Virginia,51043,Clarke County,5641,3993,9782,1648,0.576671437,0.408198732,0.168472705
Virginia,51045,Craig County,2562,542,3121,2020,0.82089074,0.173662288,0.647228452
Virginia,51047,Culpeper County,17685,10557,28553,7128,0.619374497,0.369733478,0.249641018
Virginia,51049,Cumberland County,3335,2117,5486,1218,0.607911046,0.38589136,0.222019686
Virginia,51051,Dickenson County,5701,1316,7047,4385,0.808996736,0.186746133,0.622250603
Virginia,51053,Dinwiddie County,9549,5942,15589,3607,0.612547309,0.381166207,0.231381102
Virginia,51057,Essex County,3245,2775,6064,470,0.53512533,0.457618734,0.077506596
Virginia,51059,Fairfax County,181895,386438,584387,-204543,0.31125778,0.661270699,-0.35001292
Virginia,51061,Fauquier County,26825,17180,44537,9645,0.602308193,0.385746683,0.216561511
Virginia,51063,Floyd County,6551,2968,9625,3583,0.680623377,0.308363636,0.37225974
Virginia,51065,Fluvanna County,8777,7731,16678,1046,0.526262142,0.46354479,0.062717352
Virginia,51067,Franklin County,22319,8321,30912,13998,0.72201734,0.269183489,0.452833851
Virginia,51069,Frederick County,33117,18331,52040,14786,0.636375865,0.352248271,0.284127594
Virginia,51071,Giles County,7102,2069,9234,5033,0.769114143,0.224063245,0.545050899
Virginia,51073,Gloucester County,15918,7034,23149,8884,0.687632295,0.303857618,0.383774677
Virginia,51075,Goochland County,11521,7875,19616,3646,0.587326672,0.401457993,0.185868679
Virginia,51077,Grayson County,6544,1503,8104,5041,0.807502468,0.185463968,0.6220385
Virginia,51079,Greene County,7432,4456,12038,2976,0.617378302,0.370161156,0.247217146
